"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa"
"no_skin","0","754","0","0","0","0","0","0","0","0"
"no_skin","0.025","754","0.025301","0.027163","-0.0253","0.0253","-0.027159","0","0.000135","0.002888"
"no_skin","0.05","754","0.196498","0.207731","-0.196477","0.196477","-0.207707","0","0.00071","0.013447"
"no_skin","0.075","754","0.656602","0.708079","-0.656387","0.656387","-0.708079","0","0.002358","0.032422"
"no_skin","0.1","754","1.423172","1.565344","-1.42229","1.42229","-1.565344","0","0.006573","0.058393"
"no_skin","0.125","754","2.34844","2.613473","-2.346155","2.346155","-2.613473","0","0.010789","0.088371"
"no_skin","0.15","754","3.242258","3.667755","-3.237682","3.237682","-3.667698","0","0.017101","0.116513"
"no_skin","0.175","754","3.874353","4.395162","-3.868244","3.868244","-4.395162","0","0.020671","0.136945"
"no_skin","0.2","754","4.123634","4.654488","-4.11779","4.11779","-4.654487","0","0.021175","0.14877"
"no_skin","0.225","754","4.07709","4.563891","-4.072553","4.072553","-4.563889","0","0.019686","0.154495"
"no_skin","0.25","754","4.010857","4.461656","-4.007433","4.007433","-4.461656","0","0.018793","0.157151"
"no_skin","0.275","754","4.158314","4.622577","-4.154869","4.154869","-4.622576","0","0.019577","0.164747"
"no_skin","0.3","754","4.610582","5.144189","-4.605986","4.605986","-5.144189","0","0.02193","0.180702"
"no_skin","0.325","754","5.347804","5.994069","-5.341701","5.341701","-5.994069","0","0.026064","0.205127"
"no_skin","0.35","754","6.248629","7.018131","-6.241397","6.241397","-7.01813","0","0.031274","0.23466"
"no_skin","0.375","754","7.095771","7.95935","-7.0878","7.0878","-7.959349","0","0.035159","0.263727"
"no_skin","0.4","754","7.723534","8.655619","-7.714669","7.714669","-8.655618","0","0.037659","0.287518"
"no_skin","0.425","754","8.11191","9.113967","-8.10215","8.10215","-9.113966","0","0.040571","0.301844"
"no_skin","0.45","754","8.247269","9.271465","-8.237293","8.237293","-9.271463","0","0.041437","0.308019"
"no_skin","0.475","754","8.206195","9.204025","-8.196861","8.196861","-9.204023","0","0.04051","0.310145"
"no_skin","0.5","754","8.205795","9.17013","-8.197344","8.197344","-9.170128","0","0.039271","0.316299"
"no_skin","0.525","754","8.502601","9.483818","-8.494531","8.494531","-9.483816","0","0.040488","0.33097"
"no_skin","0.55","754","9.152921","10.218303","-9.144","9.144","-10.218303","0","0.043969","0.35282"
"no_skin","0.575","754","10.039145","11.241497","-10.028183","10.028183","-11.241496","0","0.049117","0.380864"
"no_skin","0.6","754","10.976948","12.327862","-10.963786","10.963786","-12.327861","0","0.05453","0.410534"
